啊;a;;true;啊;2026-07-28T11:20:39.020497
阿;a;1;false;阿姨, 阿尔卑斯山;2026-07-28T11:13:40.332421
矮;ai;3;true;;2026-07-28T11:50:21.647988
爱;ai;4;true;可爱, 我爱学习, 我爱生气, 爱, 爱好, 爱情, 相爱;2026-07-28T12:08:54.530010
安;an;1;true;安全套, 安静;2026-07-28T11:19:36.570839
吧;ba;;true;一步一步来吧, 我们周末高兴高兴吧。, 放心吧, 这样吧, 酒吧;2026-07-28T12:08:54.498188
巴;ba;;true;嘴巴, 大巴, 巴士, 巴黎在法国的北部;2026-07-28T11:19:36.539746
八;ba;1;false;八年前, 八月, 胡说八道;2026-07-28T11:13:40.028857
把;ba;3;true;一把刀, 我把苹果吃完了;2026-07-28T11:19:36.619141
爸;ba;4;true;爸爸;2026-07-28T11:19:36.676546
白;bai;;false;我明白了, 白, 白菜;2026-07-28T11:13:39.826531
百;bai;3;true;百;2026-07-28T11:19:36.688275
拜;bai;4;true;拜访;2026-07-28T11:19:36.622184
搬;ban;1;true;搬家;2026-07-28T11:19:36.626896
班;ban;1;true;上班, 西班牙;2026-07-28T11:19:36.417925
般;ban;1;false;一般, 一般来说;2026-07-28T11:13:38.314394
板;ban;3;true;地板, 老板;2026-07-28T11:19:36.722292
办;ban;4;true;办公室, 怎么办？;2026-07-28T12:08:54.484687
半;ban;4;false;半;2026-07-28T11:13:38.716072
帮;bang;1;true;帮助, 帮忙;2026-07-28T11:21:55.821257
包;bao;1;true;一片面包, 书包, 打包, 背包, 钱包, 面包;2026-07-28T11:19:36.727032
保;bao;3;true;保护;2026-07-28T11:19:36.463041
宝;bao;3;false;支付宝;2026-07-28T11:13:39.448775
饱;bao;3;true;吃饱了, 我(吃)饱了;2026-07-28T12:08:54.493616
报;bao;4;true;报纸, 申报;2026-07-28T11:19:36.620103
卑;bei;1;false;阿尔卑斯山;2026-07-28T11:13:40.332421
杯;bei;1;true;一杯, 干杯, 杯子;2026-07-28T11:19:36.644878
背;bei;1;true;背包;2026-07-28T11:19:36.726509
北;bei;3;true;北, 北京, 北美洲, 北非 / 南非, 巴黎在法国的北部, 我家在学校的北边;2026-07-28T12:08:54.461993
备;bei;4;true;准备, 装备;2026-07-28T12:08:54.548583
被;bei;4;true;;2026-07-28T11:50:21.648340
